order_year,order_month,order_count,gmv,avg_order_value,year_month
2016,9,1,143.46,143.46,2016-09-01
2016,10,265,46490.66,175.4364528301887,2016-10-01
2016,12,1,19.62,19.62,2016-12-01
2017,1,750,127482.37,169.97649333333334,2017-01-01
2017,2,1653,271239.32,164.08912280701756,2017-02-01
2017,3,2546,414330.95,162.73800078554595,2017-03-01
2017,4,2303,390812.4,169.6970907511941,2017-04-01
2017,5,3546,566851.4,159.85657078398197,2017-05-01
2017,6,3135,490050.37,156.31590749601276,2017-06-01
2017,7,3872,566299.08,146.2549276859504,2017-07-01
2017,8,4193,645832.36,154.02632005723825,2017-08-01
2017,9,4150,701077.49,168.93433493975903,2017-09-01
2017,10,4478,751117.01,167.73492853952658,2017-10-01
2017,11,7289,1153364.2,158.23352997667718,2017-11-01
2017,12,5513,843078.29,152.92550154181026,2017-12-01
2018,1,7069,1077887.46,152.48089687367377,2018-01-01
2018,2,6555,966168.41,147.39411289092297,2018-02-01
2018,3,7003,1120598.24,160.01688419248893,2018-03-01
2018,4,6798,1132878.93,166.64885701676963,2018-04-01
2018,5,6749,1128774.52,167.2506326863239,2018-05-01
2018,6,6099,1011978.29,165.9252811936383,2018-06-01
2018,7,6159,1027807.28,166.8789219029063,2018-07-01
2018,8,6351,985491.64,155.17109746496615,2018-08-01
