algorithm,unique_user_id,k,precision,recall,ndcg,hit_rate
Content,004288347e5e88a27ded2bb23747066c,5,0.0,0.0,0.0,0.0
Content,004288347e5e88a27ded2bb23747066c,10,0.0,0.0,0.0,0.0
Content,004288347e5e88a27ded2bb23747066c,20,0.0,0.0,0.0,0.0
Content,004b45ec5c64187465168251cd1c9c2f,5,0.0,0.0,0.0,0.0
Content,004b45ec5c64187465168251cd1c9c2f,10,0.0,0.0,0.0,0.0
Content,004b45ec5c64187465168251cd1c9c2f,20,0.0,0.0,0.0,0.0
Content,0058f300f57d7b93c477a131a59b36c3,5,0.0,0.0,0.0,0.0
Content,0058f300f57d7b93c477a131a59b36c3,10,0.0,0.0,0.0,0.0
Content,0058f300f57d7b93c477a131a59b36c3,20,0.0,0.0,0.0,0.0
Content,00a39521eb40f7012db50455bf083460,5,0.0,0.0,0.0,0.0
Content,00a39521eb40f7012db50455bf083460,10,0.0,0.0,0.0,0.0
Content,00a39521eb40f7012db50455bf083460,20,0.0,0.0,0.0,0.0
Content,00cc12a6d8b578b8ebd21ea4e2ae8b27,5,0.0,0.0,0.0,0.0
Content,00cc12a6d8b578b8ebd21ea4e2ae8b27,10,0.0,0.0,0.0,0.0
Content,00cc12a6d8b578b8ebd21ea4e2ae8b27,20,0.0,0.0,0.0,0.0
Content,00eca7e1c994897d0a31bf75478f4b55,5,0.0,0.0,0.0,0.0
Content,00eca7e1c994897d0a31bf75478f4b55,10,0.0,0.0,0.0,0.0
Content,00eca7e1c994897d0a31bf75478f4b55,20,0.0,0.0,0.0,0.0
Content,011575986092c30523ecb71ff10cb473,5,0.0,0.0,0.0,0.0
Content,011575986092c30523ecb71ff10cb473,10,0.0,0.0,0.0,0.0
Content,011575986092c30523ecb71ff10cb473,20,0.0,0.0,0.0,0.0
Content,011b4adcd54683b480c4d841250a987f,5,0.0,0.0,0.0,0.0
Content,011b4adcd54683b480c4d841250a987f,10,0.0,0.0,0.0,0.0
