category,order_count,customer_count,total_revenue,total_gmv,avg_price,avg_freight,avg_review_score,bad_review_rate,avg_comment_len,repeat_rate,first_sale_date,last_sale_date,category_lifetime_days,bcg_category
agro_industria_e_comercio,182,182,72530.47,78374.07,342.124858,27.564151,4.0,16.03774,20.7028,1.0,2017-01-23 07:03:04,2018-08-26 07:57:32,580,Problem
alimentos,450,450,29393.41,36664.44,57.634137,14.256922,4.2134,13.00813,22.6199,1.0,2016-10-10 11:22:36,2018-08-29 11:06:11,688,Opportunity
alimentos_bebidas,227,227,15218.47,19753.64,54.546487,16.25509,4.3091,8.0,20.7891,1.0,2017-03-05 01:03:51,2018-08-23 19:57:47,536,Opportunity
artes,202,202,24202.64,28247.81,115.802105,19.35488,3.9515,17.96117,31.5777,1.0,2017-03-01 10:56:53,2018-08-27 19:37:48,544,Dog
artes_e_artesanato,23,23,1814.01,2184.14,75.58375,15.422083,4.125,12.5,43.4167,1.0,2017-05-08 12:01:54,2018-08-24 12:41:33,473,Opportunity
artigos_de_festas,39,39,4485.18,5313.15,104.306512,19.255116,3.7674,23.25581,48.2558,1.0,2017-07-29 20:01:05,2018-08-29 14:52:00,396,Dog
artigos_de_natal,128,128,8800.82,12030.12,57.521699,21.106536,4.0205,14.38356,35.2192,1.0,2017-04-25 16:36:37,2018-08-19 11:52:24,481,Dog
audio,350,350,50688.5,56398.94,139.254121,15.688022,3.8333,21.66667,35.6778,1.0,2016-10-07 21:19:32,2018-08-28 09:18:03,690,Problem
automotivo,3897,3897,593227.66,686030.83,139.813259,21.872065,4.065,15.24128,29.2776,1.0,2016-10-04 12:53:17,2018-08-28 18:49:20,693,Star
bebes,2885,2885,411942.58,480409.23,134.183251,22.30184,4.0112,16.74893,28.3129,1.0,2016-10-02 22:07:52,2018-08-28 15:58:28,695,Problem
bebidas,297,297,22505.9,28294.07,58.762141,15.112715,4.0477,14.58886,27.4483,1.0,2017-03-01 16:41:19,2018-08-27 09:54:35,544,Dog
beleza_saude,8836,8836,1261034.7,1444124.5,129.94999,18.867457,4.1422,13.71381,26.6067,1.0,2016-09-15 12:16:38,2018-08-29 14:18:28,713,Star
brinquedos,3886,3886,484090.3,561567.65,117.469134,18.800619,4.1617,13.44311,26.7407,1.0,2016-10-03 22:44:10,2018-08-29 12:25:59,695,Star
cama_mesa_banho,9417,9417,1045462.93,1251678.38,93.278277,18.398952,3.9022,18.7557,31.7544,1.0,2016-10-04 23:59:01,2018-08-28 21:56:30,693,Problem
casa_conforto,397,397,58751.84,67285.52,134.751927,19.572661,3.8291,20.32333,36.5958,1.0,2017-02-04 18:51:41,2018-08-24 11:17:45,566,Problem
casa_conforto_2,24,24,760.27,1170.58,25.342333,13.677,3.6296,25.92593,31.963,1.0,2017-01-25 16:57:30,2018-07-28 14:44:00,549,Dog
casa_construcao,490,490,83088.12,96920.36,137.563113,22.90106,3.9365,17.89298,30.5167,1.0,2017-02-09 09:33:26,2018-08-26 11:59:34,563,Problem
cds_dvds_musicais,12,12,730.0,954.99,52.142857,16.070714,4.6429,0.0,5.9286,1.0,2017-07-05 09:16:49,2018-04-20 11:30:06,289,Opportunity
cine_foto,65,65,6949.36,8212.95,95.196712,17.309452,4.2055,15.06849,24.8356,1.0,2017-02-17 17:37:52,2018-08-25 17:52:00,554,Opportunity
climatizacao,253,253,55024.96,61774.19,185.269226,22.72468,3.993,17.07317,33.4286,1.0,2016-10-04 12:06:11,2018-08-25 17:37:28,690,Problem
consoles_games,1062,1062,158000.22,177844.54,138.840264,17.437891,4.0249,15.30249,28.5516,1.0,2016-10-04 09:16:33,2018-08-28 22:51:54,693,Problem
construcao_ferramentas_construcao,748,748,145509.39,166199.44,156.293652,22.223469,4.0563,15.05959,26.5482,1.0,2017-01-30 14:01:38,2018-08-27 07:18:36,574,Star
construcao_ferramentas_ferramentas,97,97,15903.95,17934.17,154.407282,19.710874,4.4444,8.08081,28.2121,1.0,2017-04-13 14:08:37,2018-08-22 17:23:56,496,Opportunity
construcao_ferramentas_iluminacao,244,244,41308.0,48918.38,135.436066,24.952066,4.0541,14.52703,28.7804,1.0,2017-07-25 15:02:02,2018-08-28 18:58:13,399,Dog
construcao_ferramentas_jardim,194,194,25740.29,31063.54,107.699958,22.273013,4.0462,17.64706,32.8067,1.0,2017-02-07 15:48:56,2018-08-28 22:30:32,567,Dog
construcao_ferramentas_seguranca,167,167,40544.52,44463.62,208.992371,20.201546,3.8446,20.20725,31.9016,1.0,2017-02-18 12:45:31,2018-08-24 09:45:52,552,Dog
cool_stuff,3632,3632,636254.61,720418.95,167.303342,22.131039,4.148,13.0712,29.0555,1.0,2016-10-04 13:40:43,2018-08-28 19:44:25,693,Star
dvds_blu_ray,59,59,5999.39,7288.13,93.740469,20.136563,4.0794,17.46032,16.2381,1.0,2017-01-31 10:48:02,2018-08-23 13:56:52,569,Opportunity
eletrodomesticos,764,764,82349.27,97577.22,104.50415,19.32481,4.17,12.04819,28.9531,1.0,2017-02-12 14:14:09,2018-08-25 11:15:44,559,Star
eletrodomesticos_2,234,234,113585.39,124220.38,473.272458,44.312458,4.133,12.87554,29.7039,1.0,2017-01-18 02:01:36,2018-08-23 00:46:54,582,Star
eletronicos,2550,2550,160376.64,206989.23,57.939538,16.839809,4.0408,15.67055,28.1491,1.0,2016-10-05 14:16:28,2018-08-26 20:58:26,690,Problem
eletroportateis,630,630,190873.48,206953.53,280.284112,23.612408,4.1513,14.39169,31.6424,1.0,2017-01-11 00:13:51,2018-08-22 02:28:35,588,Star
esporte_lazer,7720,7720,991175.2,1160474.62,114.217009,19.509037,4.1087,14.55778,27.3835,1.0,2016-10-03 16:56:50,2018-08-29 10:22:35,695,Star
fashion_bolsas_e_acessorios,1864,1864,153205.43,184781.23,75.137533,15.485924,4.1486,12.61261,28.2698,1.0,2016-10-06 13:16:56,2018-08-28 21:10:46,691,Star
fashion_calcados,240,240,23592.67,28525.64,89.70597,18.75654,4.2374,12.06226,32.965,1.0,2016-10-03 22:31:31,2018-08-21 16:31:46,687,Opportunity
fashion_esporte,27,27,2119.51,2697.64,70.650333,19.271,4.2333,10.0,14.7667,1.0,2017-03-04 14:03:59,2018-08-19 20:46:26,533,Opportunity
