snapshot_key,snapshot_id,unique_user_id,first_purchase_date,last_purchase_date,obs_date,is_churned_30d,is_churned_60d,is_churned_90d,is_churned_180d,is_churned_270d,total_orders,total_gmv,days_since_last_order,customer_age_days,avg_rating,rating_std,bad_review_count,avg_delivery_days,delayed_orders,category_diversity,total_category_purchases,total_category_gmv,dominant_category,cat_purchase_beleza_saude,cat_purchase_brinquedos,cat_purchase_cama_mesa_banho,cat_purchase_esporte_lazer,cat_purchase_fashion_bolsas_e_acessorios,cat_purchase_informatica_acessorios,cat_purchase_moveis_decoracao,cat_purchase_perfumaria,cat_purchase_relogios_presentes,cat_purchase_utilidades_domesticas,cat_gmv_beleza_saude,cat_gmv_brinquedos,cat_gmv_cama_mesa_banho,cat_gmv_esporte_lazer,cat_gmv_fashion_bolsas_e_acessorios,cat_gmv_informatica_acessorios,cat_gmv_moveis_decoracao,cat_gmv_perfumaria,cat_gmv_relogios_presentes,cat_gmv_utilidades_domesticas,customer_state,customer_city,target,avg_rating_was_missing,rating_std_was_missing,avg_delivery_days_was_missing,order_count,total_spent,days_per_order,orders_per_month,avg_order_value,gmv_per_day,recency_ratio,is_recent_active,is_satisfied,has_bad_review,delay_rate,has_delay,state_encoded,first_purchase_month,first_purchase_quarter,last_purchase_month,last_purchase_quarter,churn_probability,risk_level,is_high_value
0451ef5a31cea3e14ce02d768d7c9943__20170804,3,0451ef5a31cea3e14ce02d768d7c9943,2017-04-14 18:09:37,2017-06-18 20:00:47,2017-08-04 15:00:37,1,1,1,1,1,2,387.39,47,112,4.5,0.5,0.0,21.5,0.0,1,2,387.39,perfumaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.39,0.0,0.0,BA,salvador,1,0,0,0,2,387.39,37.333333333333336,0.4225352112676056,129.13,3.428230088495575,0.415929203539823,0,1,0,0.0,0,3,4,2,6,2,0.8808909396341423,High Risk,1
04d3c2795b83634312bf3f86f41f7901__20171003,5,04d3c2795b83634312bf3f86f41f7901,2017-06-09 17:38:12,2017-08-08 20:46:53,2017-10-03 15:00:37,1,1,1,1,1,2,596.39,56,116,3.0,2.0,1.0,21.0,1.0,1,2,596.39,beleza_saude,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES,colatina,1,0,0,0,2,596.39,38.666666666666664,0.410958904109589,198.79666666666665,5.0973504273504275,0.47863247863247865,0,0,1,0.3333333333333333,1,6,6,2,8,3,0.933575838089021,High Risk,1
0621c2a5979d3e887ae519620cbe2926__20171003,5,0621c2a5979d3e887ae519620cbe2926,2017-06-09 16:13:00,2017-08-10 09:47:46,2017-10-03 15:00:37,1,1,1,1,1,2,514.49,54,116,1.0,0.0,2.0,9.0,0.0,1,3,514.49,informatica_acessorios,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.49,0.0,0.0,0.0,0.0,SP,sao paulo,1,0,0,0,2,514.49,38.666666666666664,0.410958904109589,171.49666666666667,4.397350427350427,0.46153846153846156,0,0,1,0.0,0,23,6,2,8,3,0.8440605553122968,High Risk,1
0a609db8d244100909a15d65eadf8539__20171202,7,0a609db8d244100909a15d65eadf8539,2017-08-07 19:54:40,2017-10-18 15:53:47,2017-12-02 15:00:37,1,1,1,1,1,3,501.16,45,117,3.0,2.0,1.0,10.6667,0.0,2,4,501.15999999999997,brinquedos,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.59,186.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RJ,petropolis,1,0,0,0,3,501.16,29.25,0.6122448979591836,125.29,4.247118644067797,0.3813559322033898,0,0,1,0.0,0,17,8,3,10,4,0.8421728958613544,High Risk,1
0aadc1d26d1c8b88a52c39a533ccea93__20171202,7,0aadc1d26d1c8b88a52c39a533ccea93,2017-04-11 10:52:50,2017-11-28 10:27:09,2017-12-02 15:00:37,1,1,1,1,1,2,1218.7,4,235,1.0,0.0,1.0,22.0,0.0,1,6,1218.7,esporte_lazer,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218.7,0.0,0.0,0.0,0.0,0.0,0.0,BA,salvador,1,0,0,0,2,1218.7,78.33333333333333,0.22641509433962267,406.23333333333335,5.163983050847458,0.01694915254237288,1,0,1,0.0,0,3,4,2,11,4,0.8338373145585478,High Risk,1
0cc2ee1112a11a1094eff52fa2e87150__20171202,7,0cc2ee1112a11a1094eff52fa2e87150,2017-05-15 09:00:01,2017-10-03 11:54:16,2017-12-02 15:00:37,1,1,1,1,1,3,839.62,60,201,5.0,0.0,0.0,16.5,0.0,2,3,839.62,beleza_saude,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,758.4,0.0,0.0,81.22,0.0,0.0,0.0,0.0,0.0,0.0,PI,teresina,1,0,0,0,3,839.62,50.25,0.38961038961038963,209.905,4.1565346534653465,0.297029702970297,0,1,0,0.0,0,15,5,2,10,4,0.8402216694987185,High Risk,1
149c19901ddcd1057deaabc003004a12__20171003,5,149c19901ddcd1057deaabc003004a12,2017-08-28 08:46:04,2017-08-28 13:49:55,2017-10-03 15:00:37,1,1,1,1,1,2,439.44,36,36,2.5,0.5,1.0,5.0,0.0,2,3,439.44,cool_stuff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MS,campo grande,1,0,0,0,2,439.44,12.0,0.9090909090909091,146.48,11.876756756756757,0.972972972972973,0,0,1,0.0,0,10,8,3,8,3,0.8789401437156246,High Risk,1
15eb6c5aa4aa23cbdb42e119220d23ec__20171202,7,15eb6c5aa4aa23cbdb42e119220d23ec,2017-09-22 15:39:38,2017-10-19 10:33:51,2017-12-02 15:00:37,1,1,1,1,1,2,436.88,44,71,5.0,0.0,0.0,17.5,0.0,2,2,436.88,cool_stuff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MS,dourados,1,0,0,0,2,436.88,23.666666666666668,0.594059405940594,145.62666666666667,6.067777777777778,0.6111111111111112,0,1,0,0.0,0,10,9,3,10,4,0.8486487028909366,High Risk,1
165d93a9d1da194b47da42c9cf810ebd__20171102,6,165d93a9d1da194b47da42c9cf810ebd,2017-06-17 18:18:36,2017-09-03 23:37:01,2017-11-02 15:00:37,1,1,1,1,1,2,604.79,60,138,4.5,0.5,0.0,12.5,0.0,2,2,604.79,perfumaria,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,90.3,0.0,0.0,0.0,0.0,514.49,0.0,0.0,SP,sao paulo,1,0,0,0,2,604.79,46.0,0.35714285714285715,201.59666666666666,4.3510071942446045,0.4316546762589928,0,1,0,0.0,0,23,6,2,9,3,0.8614684635771143,High Risk,1
1a15eecd72a08e1134ba406c7a7998e6__20170804,3,1a15eecd72a08e1134ba406c7a7998e6,2017-06-19 20:18:51,2017-06-19 20:18:52,2017-08-04 15:00:37,1,1,1,1,1,2,415.79,46,46,4.0,1.0,0.0,8.0,0.0,1,2,415.79,cama_mesa_banho,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SP,sao paulo,1,0,0,0,2,415.79,15.333333333333334,0.7894736842105263,138.59666666666666,8.846595744680851,0.9787234042553191,0,1,0,0.0,0,23,6,2,6,2,0.8538008769039585,High Risk,1
1bbf6de8bbe287cb474e57d437d72969__20171202,7,1bbf6de8bbe287cb474e57d437d72969,2017-10-04 19:40:44,2017-10-04 19:40:44,2017-12-02 15:00:37,1,1,1,1,1,2,377.76,59,59,4.0,1.0,0.0,18.5,0.0,1,3,377.76,telefonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PE,recife,1,0,0,0,2,377.76,19.666666666666668,0.6741573033707865,125.92,6.296,0.9833333333333333,0,1,0,0.0,0,14,10,4,10,4,0.8748545606225892,High Risk,1
26d1b63e9b8478f84f87188c4877049e__20171003,5,26d1b63e9b8478f84f87188c4877049e,2017-07-06 15:03:51,2017-08-08 10:40:16,2017-10-03 15:00:37,1,1,1,1,1,2,597.22,56,89,5.0,0.0,0.0,7.0,0.0,2,3,597.22,esporte_lazer,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,408.69,0.0,0.0,188.53,0.0,0.0,0.0,SP,itapira,1,0,0,0,2,597.22,29.666666666666668,0.5042016806722689,199.07333333333335,6.635777777777778,0.6222222222222222,0,1,0,0.0,0,23,7,3,8,3,0.8276240735770922,High Risk,1
294e0922aa06792eea5094656727c0bd__20170705,2,294e0922aa06792eea5094656727c0bd,2017-05-03 19:41:22,2017-05-20 15:56:32,2017-07-05 15:00:37,1,1,1,1,1,2,374.15,46,63,5.0,0.0,0.0,14.5,0.0,2,2,374.15,pet_shop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.44,SP,tremembe,1,0,0,0,2,374.15,21.0,0.6451612903225806,124.71666666666665,5.84609375,0.71875,0,1,0,0.0,0,23,5,2,5,2,0.873203775534605,High Risk,1
2cf396c9e24e7627ff042cccb209b9e6__20171102,6,2cf396c9e24e7627ff042cccb209b9e6,2017-08-10 18:16:59,2017-09-18 23:34:58,2017-11-02 15:00:37,1,1,1,1,1,2,429.3,45,84,3.5,1.5,1.0,10.5,0.0,2,2,429.29999999999995,cool_stuff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SP,irape,1,0,0,0,2,429.3,28.0,0.5263157894736842,143.1,5.050588235294118,0.5294117647058824,0,0,1,0.0,0,23,8,3,9,3,0.9405032681462611,High Risk,1
